src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,total_fwd_packets,total_bwd_packets,total_fwd_bytes,total_bwd_bytes,flow_bytes_per_sec,flow_packets_per_sec,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_mean,bwd_iat_std,flag_syn_count,flag_ack_count,flag_fin_count,flag_rst_count,flag_psh_count,flag_urg_count,fwd_avg_bytes_per_pkt,bwd_avg_bytes_per_pkt,active_mean,idle_mean,port_scan_score,mean_ttl,mean_tcp_window,payload_entropy,label,dataset_source
192.168.1.236,10.0.0.218,56649,40525,6,117.95069421230843,666,97,72540,30167,870.7621492683193,6.46880465685618,0.2726987406937245,0.2700811702176216,0.3064681116834508,0.15055129773161535,0.1043292676424313,0.48854458763706565,7,258,35,2,48,1,108.91891891891892,311.0,5.377345805385027,12.567797049788417,0.0011869366342855375,110.39193265619899,37006.70679093577,3.766810423229834,PortScan,CIC-IDS2017
192.168.1.78,10.0.0.2,3230,4055,17,7.123001524546287,231,106,86157,23123,15341.847060317848,47.31151591624373,0.7582024643539217,0.21451777947694303,0.7612427270560166,0.26257634984626904,0.7357028342957169,0.31702009939891035,78,10,7,0,16,1,372.97402597402595,218.14150943396226,7.68585376357509,22.96271427310587,0.21900879771317572,59.564776915275104,52137.51588796969,4.292474833240186,BENIGN,CIC-IDS2017
192.168.1.150,10.0.0.110,11968,45294,6,111.35834103706652,561,90,27879,3400,280.88600915479276,5.845992261893605,0.1053281465835617,0.18072665124362544,1.3602455509861784,0.43181346487121597,0.41121889636494563,0.40270333573022477,36,308,8,9,71,1,49.6951871657754,37.77777777777778,0.7108652975962151,9.842332767638592,0.006465613561541315,43.32239406511724,49202.44525709022,2.516076245930721,BENIGN,CIC-IDS2017
192.168.1.116,10.0.0.186,4841,41632,17,20.757902380456876,456,92,98203,33140,6327.373430740124,26.3995845994502,0.3864136003144607,0.09352409565843861,0.9493113294722537,0.21037963132958362,0.87632478895483,0.3599593752475102,55,360,13,0,1,3,215.35745614035088,360.2173913043478,5.033581522495315,0.2877165241429655,0.05299186689670661,107.67848846909506,14114.321288169405,3.927789009582612,BENIGN,CIC-IDS2017
192.168.1.199,10.0.0.155,40591,11903,6,7.088579022620772,373,79,71360,15667,12277.072699942137,63.76454273241461,0.42516125087815304,0.32407326636516337,1.6115437219957447,0.2944280798320249,0.37225836900467696,0.07653761928665453,18,341,47,7,64,1,191.313672922252,198.31645569620252,0.4994554305515636,5.049531649616943,0.05078591899041871,81.69819557581089,20455.60564616987,5.026379571876177,BENIGN,CIC-IDS2017
192.168.1.79,10.0.0.68,8499,37609,6,29.196616250800723,751,171,17663,11293,991.758762428707,31.57900189802693,0.7370534190804174,0.3354777073351584,0.5979538125349115,0.1901998666202975,0.03928991989870081,0.005390599444822697,69,164,42,4,90,1,23.51930758988016,66.04093567251462,9.424225875252628,16.64169251658132,0.04726575121396656,70.0625355399492,31666.429772719377,5.7168862222426835,BENIGN,CIC-IDS2017
192.168.1.185,10.0.0.224,53091,2174,6,40.58862406167042,58,389,87679,20583,2667.2990894075774,11.01293799269538,0.4534779847959834,0.42395457187663677,0.5367697893962701,0.18113524186058053,0.8662185774943936,0.3949741639152105,73,312,0,1,88,4,1511.7068965517242,52.912596401028274,7.304983878870052,6.317568960044486,0.03597066995377014,42.14846832559354,1728.7453422954582,4.2042905999226905,PortScan,CIC-IDS2017
192.168.1.143,10.0.0.143,15217,59678,6,92.74687989814277,646,356,83010,34034,1261.972371777261,10.803597933433714,0.27106820402731885,0.1485568184234919,0.7019769343420998,0.050026433540585245,0.17795621707037457,0.3502946431294547,31,160,45,0,22,3,128.4984520123839,95.60112359550561,2.489370698317753,12.533535066172414,0.006684860996735431,49.53876848697945,38814.45834464274,1.4585312552421072,BENIGN,CIC-IDS2017
192.168.1.36,10.0.0.92,11655,44606,6,54.44897753684539,547,399,85017,34898,2202.337039641452,17.374063624240616,0.01796302338438617,0.39375623728607045,1.0645797197969127,0.04669439075251453,0.5994338943111669,0.4402162064644565,65,16,41,0,43,3,155.42413162705668,87.46365914786968,0.5299154507931986,12.717287007179232,0.023875563119992393,56.90652943776507,44394.3776913361,4.543244104399709,BENIGN,CIC-IDS2017
192.168.1.105,10.0.0.101,30974,44616,17,20.830119863416044,906,187,8323,4928,636.1461233486583,52.472093639731604,0.6137611009318453,0.4201243288362544,0.3389156466310361,0.06053960119170342,0.846291148241976,0.431698531328122,12,71,12,1,10,0,9.186534216335541,26.352941176470587,4.158967745199906,29.279019940456042,0.011521777194451587,95.53663045002907,59059.17985296374,4.3281616472421565,BENIGN,CIC-IDS2017
